image_number,line_number,image_path,figure_number,caption,is_relevant,topics,description,enzyme_variants,data_types,key_findings
11,86,![](images/f97a3a2e7201a5d31899e81fa56585f686791bfc46d5e33cd5c582124dd12c6c.jpg),,,false,,No caption available,,,
12,88,![](images/87ba402fa401b77021501bdaaa25aa50c1e19d7d4c2e6876106b43807cbfd2cc.jpg),,,false,,No caption available,,,
13,90,![](images/bd07c4bdaec61229470ddcfb9f9f492ccef5233dc8c3808d7345f1d428c9ebaa.jpg),,"competent conformations: one in which the nitro group is buried inside the TIM barrel (in, blue) and another in which it is solvent exposed (out, orange). Shown are two representative conformations from the MD simulations. e, Activation free energy for the proton abstraction of 5-nitrobenzisoxazole, comparing $\Delta G ^ { \ddagger }$ computed from the experimentally determined $k _ { \mathrm { c a t } }$ values (mean ± s.d. of 2 and 5 biological replicates for Des27 and Des27.7, respectively) using the Eyring rate equation, assuming $T = 2 9 8 \mathsf { K }$ (experiment), and the corresponding values calculated for ‘in’ and ‘out’ substrate conformations (mean ± s.d. over 30 independent EVB trajectories per system). A two-sample Wilcoxon rank-sum test (two-sided) indicated statistically significant differences in the calculated activation free energies between the ‘in’ and ‘out’ conformations for Des27.7 $\mathrm { \mathit { P } } { = } 7 . 7 \times 1 0 ^ { - 9 } )$ but not for Des27 $\scriptstyle ( P = 0 . 0 8 8$ ). R.e.u., Rosetta energy units.",true,substrate conformational sampling|activation free energy|proton abstraction|molecular dynamics|EVB calculations,"Two dominant substrate conformations (nitro group buried ‘in’ or solvent-exposed ‘out’) identified by MD inside the TIM barrel, and their computed activation free energies for proton abstraction compared with experimental kcat-derived values for Des27 and Des27.7.",Des27|Des27.7,MD representative conformations|activation free energy (ΔG‡)|experimental kcat|EVB trajectories|statistical test (Wilcoxon rank-sum),"Des27.7 shows a statistically significant difference in ΔG‡ between ‘in’ and ‘out’ conformations (P = 7.7×10⁻⁹), whereas Des27 does not (P = 0.088)|Computed ΔG‡ values for both conformations align closely with experimentally derived ΔG‡ from kcat"
14,95,![](images/2c1f7422bf67c29dfb0addf1b22334d8e811cec2ee1e7b9e397429d28cf5dd71.jpg),4,"Fig. 4 | Deconvoluting the contributions of the mutations in Des27.7 reveals necessary and sufficient components for effective de novo enzyme design. Apparent melting temperature and catalytic efficiency of Des27.7 (top row) are compared with variants in which design components are ablated (X symbols). The number of mutations relative to the modular assembly baseline is indicated in parentheses. Data represent the mean ± s.d. of 2–5 biological replicates. Muts, number of mutations; ND, not detected.",true,de novo enzyme design|mutational analysis|thermostability|catalytic efficiency,Systematic removal of design mutations from the final variant Des27.7 to identify which mutations are necessary and sufficient for high melting temperature and catalytic efficiency.,Des27.7,apparent melting temperature|catalytic efficiency|mutation count,Specific subsets of mutations are required to maintain high thermostability and catalytic efficiency; ablating certain design components lowers Tm and/or kcat/Km; the figure quantifies how many mutations can be removed before activity or stability is lost.
15,193,![](images/4ce4224abae3b5090eaa6aa3a6971493727ac710dcecbeb20278e79d62fff1b8.jpg),,,false,,No caption available,,,
16,346,![](images/7d4baad41e78ba4139b5c9ca1399073bba3f187c1650a7641cb4ad1c162bc827.jpg),,,false,,No caption available,,,
17,348,![](images/050503409a57c5a73dc945e560bef87c65e4a64743c91fa8a2b11ea69930055e.jpg),,,false,,No caption available,,,
18,350,![](images/1410b437e278818a2c7ba21a3a7e64f560bc9ea6b99cb7164612ce35ec40abfb.jpg),,,false,,No caption available,,,
19,352,![](images/ef0e213d4e3c23152739dc83383cd42dcdbb14510faf87b673a18ce2f0bfdaa6.jpg),,,false,,No caption available,,,
20,354,![](images/36663d9c8a6e5a3c0a497b224060edf6efffc1bae381335aebfd1308e7c9d3b0.jpg),,,false,,No caption available,,,
21,356,![](images/9d3ead5180397f356593c34bbc6e70d91b671413e5b51e0e44cafd056a1916e1.jpg),,,false,,No caption available,,,
22,358,![](images/4efc024dadf137114c7d022658b77afe25982b110bbd994d4dd516b6f9f7ca27.jpg),,,false,,No caption available,,,
23,362,![](images/6664b9aa70728d064ac429de77fda55cb257a1b3fd2df2270c8cf4a75003805e.jpg),,,false,,No caption available,,,
24,364,![](images/4cc1d0898d062c0369155a8eb9c4972ecab3debc81ef816c0b1087672512959e.jpg),2,"Extended Data Fig. 2 | Representative Michaelis-Menten plots. The data were fitted to the Michaelis-Menten equation $\nu _ { 0 } { = } k _ { \mathrm { c a t } } [ \mathrm { E } ] _ { 0 } [ \mathrm { S } ] _ { 0 } / ( [ \mathrm { S } ] _ { 0 } + K _ { \mathrm { M } } )$ . When substrate saturation could not be attained due to limited substrate solubility, the data were fitted to the linear region of the Michaelis-Menten model and $\mathbf { v } _ { 0 } = [ \mathsf { S } ] _ { 0 } [ \mathsf { E } ] _ { 0 } k _ { \mathrm { c a t } } / K _ { \mathrm { M } }$ , and $k _ { \mathrm { { c a t } } } / K _ { \mathrm { { M } } }$ were deduced from the slope. Kinetic experiments were performed for all functional designs in this study with at least two technical replicates, and high-functioning designs were further evaluated with 2–5 biological replicates. Data presented are mean of 2 technical repeats.",true,kinetic analysis|Michaelis-Menten kinetics|substrate solubility limitation|enzyme characterization,"The figure displays representative Michaelis-Menten plots for enzyme designs, showing how initial velocity varies with substrate concentration; when saturation could not be reached due to low substrate solubility, only the linear region was used to extract kcat/KM.",,kinetic parameters|Michaelis-Menten plots|kcat|KM|kcat/KM,"All functional enzyme designs were kinetically characterized|High-functioning designs were validated with 2–5 biological replicates|When substrate solubility limited saturation, kcat/KM was derived from the linear slope|Data shown are means of two technical repeats"
25,366,![](images/4f2110f0a148d62d9f6723fca43ba040695f89cb1ebccdf0e8c0ba70e7375dee.jpg),2,"Extended Data Fig. 2 | Representative Michaelis-Menten plots. The data were fitted to the Michaelis-Menten equation $\nu _ { 0 } { = } k _ { \mathrm { c a t } } [ \mathrm { E } ] _ { 0 } [ \mathrm { S } ] _ { 0 } / ( [ \mathrm { S } ] _ { 0 } + K _ { \mathrm { M } } )$ . When substrate saturation could not be attained due to limited substrate solubility, the data were fitted to the linear region of the Michaelis-Menten model and $\mathbf { v } _ { 0 } = [ \mathsf { S } ] _ { 0 } [ \mathsf { E } ] _ { 0 } k _ { \mathrm { c a t } } / K _ { \mathrm { M } }$ , and $k _ { \mathrm { { c a t } } } / K _ { \mathrm { { M } } }$ were deduced from the slope. Kinetic experiments were performed for all functional designs in this study with at least two technical replicates, and high-functioning designs were further evaluated with 2–5 biological replicates. Data presented are mean of 2 technical repeats.",true,kinetic analysis|Michaelis-Menten kinetics|enzyme characterization,"Representative Michaelis-Menten plots for enzyme variants; kinetic parameters (kcat, KM, kcat/KM) were extracted by fitting initial velocity data to the Michaelis-Menten equation or its linear approximation when substrate solubility was limiting.",,kinetic parameters|Michaelis-Menten plots|initial velocity data,All functional enzyme designs were kinetically characterized with at least two technical replicates; high-performing designs were validated with 2–5 biological replicates.
26,368,![](images/1df325aaa78af68f9dd9ca8515b27d3fa3312d0749f4e544b1ba3c32af04af4f.jpg),2,"Extended Data Fig. 2 | Representative Michaelis-Menten plots. The data were fitted to the Michaelis-Menten equation $\nu _ { 0 } { = } k _ { \mathrm { c a t } } [ \mathrm { E } ] _ { 0 } [ \mathrm { S } ] _ { 0 } / ( [ \mathrm { S } ] _ { 0 } + K _ { \mathrm { M } } )$ . When substrate saturation could not be attained due to limited substrate solubility, the data were fitted to the linear region of the Michaelis-Menten model and $\mathbf { v } _ { 0 } = [ \mathsf { S } ] _ { 0 } [ \mathsf { E } ] _ { 0 } k _ { \mathrm { c a t } } / K _ { \mathrm { M } }$ , and $k _ { \mathrm { { c a t } } } / K _ { \mathrm { { M } } }$ were deduced from the slope. Kinetic experiments were performed for all functional designs in this study with at least two technical replicates, and high-functioning designs were further evaluated with 2–5 biological replicates. Data presented are mean of 2 technical repeats.",true,kinetic analysis|Michaelis-Menten fitting|substrate-solubility limitation|replicate strategy,"Michaelis-Menten plots for enzyme designs; full hyperbolic fits when possible, otherwise linear fits to extract kcat/KM from slope; data are means of two technical repeats.",,kinetic parameters|Michaelis-Menten plots|kcat/KM values,"Substrate solubility occasionally prevented saturation, forcing linear-region analysis to obtain kcat/KM|All functional designs underwent initial kinetic screening with ≥2 technical replicates; top designs were validated with 2–5 biological replicates"
27,376,![](images/c889dbd76f76dbced001b9606c10ea88616c42415a1ea85b3d543a203b85bb36.jpg),,,false,,No caption available,,,
28,379,![](images/ed189ac1000607934cdebd996d649c7495fac23e955107bff07b194b95d12f4d.jpg),,,false,,No caption available,,,
29,381,![](images/a40dd9e157da64d46c1975975439ecc461cc2d414e0284ba099beef87d7f68cd.jpg),,,false,,No caption available,,,
30,383,![](images/15f059b9107be52fa4f09b133f0442860d814f1e61a389d50bcae4fdd4ef8d22.jpg),,,false,,No caption available,,,
31,385,![](images/3e593640daeb5f3ff73937c4a12813f80a0247b2420d22252d4f171db3b2e54a.jpg),,,false,,No caption available,,,
32,387,![](images/b1766cd93c5679513d4a0e93847756592bd650f52614031cd7edcc3044a7a493.jpg),,,false,,No caption available,,,
33,390,![](images/0306cc035e49eb4fa0278f5087dd8da75c4a636aa6b6be56cba545bef0394272.jpg),,,false,,No caption available,,,
34,392,![](images/76abd9f38133b99011636a87ffb5a70a537387aa8f9c2b39a4bec54beb4d3826.jpg),4,Extended Data Fig. 4 | See next page for caption.,false,,The caption is a placeholder directing the reader to the next page for the actual caption; no scientific content is provided.,,,
35,395,![](images/26b3eacfa0561df19cd91744664f39c42f8ea34eb6e99f13496a7ada43f5e9a9.jpg),4,Extended Data Fig. 4 | See next page for caption.,false,,The caption is a placeholder directing the reader to the next page for the actual caption; no scientific content is provided.,,,
36,404,![](images/61c5a164dc8949a8095150548bff55d6a1d4b343d43aa4535c57de831f63e146.jpg),,b,false,,No meaningful content; caption is only the letter 'b'.,,,
37,407,![](images/5cfef94b41e4a8c411a1ac18b67ddba85ca4565261d2925c35962e59f7a4b0d5.jpg),,b,false,,The caption contains only the letter 'b' and provides no scientific information.,,,
38,410,![](images/fa5368556172b75a118983633536e35b6c0ece37f1835d9ce534a55289f61ca9.jpg),,,false,,No caption available,,,
39,412,![](images/7a4bae3bf5f388d2cb7704afd9e4697a2ed13855c5071788f9cae6676d0a1e70.jpg),,,false,,No caption available,,,
40,414,![](images/313d59ac1475a7640849a47bf262b24bd2d10756119e97993b0cb61a2aa43d2a.jpg),,,false,,No caption available,,,
41,416,![](images/767adbc89238c60ba720625cc7c97a10556ad7522ad518fc12a93953a8bf6e75.jpg),,,false,,No caption available,,,
42,418,![](images/d6d9fc89bf57bd1680ed6286e25bf7927791276cf10d3114cbe08c7caeabc8f1.jpg),,,false,,No caption available,,,
43,420,![](images/6ac2740d49493e22fb7cce5acca24c466a52469be675dd800b64194665c108cd.jpg),,,false,,No caption available,,,
44,422,![](images/9a7edc5aa31b403fad4e850b6e7c9b3cc12286e83e60cd21f7c84e8204dd09c7.jpg),5,"Extended Data Fig. 5 | Time evolution of the active site center of mass (COM) and ligand distance during total 5 × 1 μs of MD simulations. a. Des27 and b. Des27.7. The dotted gray line at 4 Å marks the threshold for defining the ligand as being within the active site. In two out of ten replicas across the two systems, we observe ligand dissociation without rebinding towards the end of the trajectory on the timescale of our simulations; in a third, in the case of Des27.7, we observe substantial dissociation mid-trajectory with ligand rebinding within the simulation timeframes.",true,MD simulation|ligand binding stability|active-site proximity,5 × 1 µs MD replicas track the distance between the ligand and the active-site center-of-mass; a 4 Å cutoff defines bound vs unbound states for two enzyme variants.,Des27|Des27.7,molecular dynamics trajectories|distance time-series|binding stability,Ligand remains bound within 4 Å in the majority of replicas|Two replicas show irreversible ligand dissociation|One Des27.7 replica shows transient dissociation followed by rebinding
45,424,![](images/1d0b6d3882ccfe9a6ff039bbc535a0c98730c78893b9bde92e66bdc2a40fce33.jpg),5,"Extended Data Fig. 5 | Time evolution of the active site center of mass (COM) and ligand distance during total 5 × 1 μs of MD simulations. a. Des27 and b. Des27.7. The dotted gray line at 4 Å marks the threshold for defining the ligand as being within the active site. In two out of ten replicas across the two systems, we observe ligand dissociation without rebinding towards the end of the trajectory on the timescale of our simulations; in a third, in the case of Des27.7, we observe substantial dissociation mid-trajectory with ligand rebinding within the simulation timeframes.",true,MD simulation|ligand binding stability|active-site geometry,5 × 1 μs MD trajectories track the distance between the ligand and the active-site center-of-mass; a 4 Å cutoff defines bound vs unbound states.,Des27|Des27.7,molecular dynamics|distance time-series|binding stability,Des27 retains the ligand in 5/5 replicas|Des27.7 shows one full dissociation–rebinding event and one permanent dissociation|across both variants 2/10 replicas exhibit irreversible ligand exit within 1 μs
46,428,![](images/642f1720d50b979125fc9211aedb9180d887d48241bc7e8dc28deadc4133f0c2.jpg),,,false,,No caption available,,,
47,430,![](images/74b6ac7c8451aa25ed1d3c3e301063de3fd961c16a3613e7b3980f804beaeeec.jpg),,,false,,No caption available,,,
48,432,![](images/7d461e5f9a15555228c62baae1c52f1ea1be447fa31a1558ceb2684c2336f247.jpg),,,false,,No caption available,,,
49,440,![](images/4b6c7b380cddd2e73bb4d9e0c489ff854e1e6915bb7832ff4a17b6f605668016.jpg),,,false,,No caption available,,,
50,442,![](images/c050cf19414f34f5ebd2b5421852409f4498aa5da50dfc80c3bdf8c7a91985b7.jpg),,,false,,No caption available,,,
51,448,![](images/e4e22b4257560d71ab41735aeb846b351f92b6eccdc7e9e9f7e34c40377bb603.jpg),,,false,,No caption available,,,
52,451,![](images/2612a5175e6b2bb02221f70d570ca4c2c0e287509dc2c66ba0de84eedc957bc9.jpg),,,false,,No caption available,,,
53,453,![](images/597142c42b467a894bd1319dc15864b53b016f009dbbb72dd94bdeebaad11ddd.jpg),,,false,,No caption available,,,
54,456,![](images/0f6119b1baf3a5f620fc5243bfc1dc39c1273c84766a57cdfbb0936133992eb5.jpg),,,false,,No caption available,,,
55,458,![](images/e580cd2b78c615ab9fbc11ccbfa339a007b9f7538270daa7b1bdbfa5cf7a15ce.jpg),,,false,,No caption available,,,
56,461,![](images/10bde03053b0691488ae09a8634af83f91655a6b2e28c6127e2a0865b3fc28e4.jpg),,,false,,No caption available,,,
57,463,![](images/b2c04a7e798e138da13c73022a013e0311d81e6bf98410bf7ca87a36aa51f04d.jpg),,d,false,,The caption is a single lowercase letter 'd' and contains no scientific information.,,,
58,465,![](images/2d131f68d3796c7459d4047a9643d003cbfddfd747003740163c0601de895ad9.jpg),,d,false,,No meaningful information can be extracted from the caption 'd'.,,,
